代码,时间,开盘价,最高价,最低价,收盘价,成交量,成交额
SZ399636,2015-08-05,4916.7300,5027.7600,4816.8100,4865.6500,2610000400,55595085824.00
SZ399637,2015-08-05,6778.0000,6805.5900,6626.0000,6665.7800,1353448100,15399113728.00
SZ399638,2015-08-05,4769.0500,4858.7900,4705.5000,4739.0900,1238541800,20537018368.00
SZ399639,2015-08-05,3384.5700,3409.5700,3311.9300,3339.8100,1194982900,14085531648.00
SZ399640,2015-08-05,2503.2900,2547.9200,2451.4100,2473.1800,3281826800,83352363008.00
SZ399641,2015-08-05,2202.3100,2234.6900,2157.4000,2173.5800,6070140000,127096963072.00
SZ399642,2015-08-05,2044.6500,2074.5300,2006.6400,2021.4600,1904636800,50651344896.00
SZ399643,2015-08-05,2823.0600,2869.0600,2752.5300,2775.9900,1766418400,46505111552.00
SZ399644,2015-08-05,2819.6700,2841.8700,2771.6800,2782.3200,2622115600,42800836608.00
SZ399645,2015-08-05,8553.0700,8643.2900,8439.6300,8462.9600,2413410400,32691068928.00
SZ399646,2015-08-05,7256.9500,7305.4500,7132.8400,7161.2500,1488995300,26587920384.00
SZ399647,2015-08-05,10989.4700,11194.7200,10845.2500,10908.4900,601939700,17447974912.00
SZ399648,2015-08-05,10041.0800,10151.5500,9926.5600,9947.8500,2980001800,53897162752.00
SZ399649,2015-08-05,2346.5600,2375.4600,2303.2100,2322.9300,869900000,16453899264.00
SZ399650,2015-08-05,2156.1700,2175.8300,2118.5900,2128.1100,702278500,16054007808.00
SZ399651,2015-08-05,1611.6300,1626.5700,1583.6700,1589.3100,790601300,16138312704.00
SZ399652,2015-08-05,2774.6600,2816.5000,2691.7200,2718.0300,1030445700,31363706880.00
SZ399653,2015-08-05,1713.2500,1723.1000,1679.7600,1683.4900,1858357200,31894620160.00
SZ399654,2015-08-05,5300.4700,5330.7600,5191.6000,5210.5800,734607200,21219829760.00
SZ399655,2015-08-05,7555.3600,7654.1400,7427.7000,7479.3000,1784189600,39916703744.00
SZ399656,2015-08-05,5356.7500,5413.6900,5269.3100,5284.2900,4334069200,75017109504.00
SZ399657,2015-08-05,7229.7200,7314.2900,7076.4000,7118.8800,9879249600,175733669888.00
SZ399658,2015-08-05,5245.4300,5298.8900,5122.7900,5154.8200,2297608800,53560737792.00
SZ399659,2015-08-05,5299.4500,5377.5200,5200.0500,5241.5800,13710652800,242351079424.00
SZ399660,2015-08-05,3068.4200,3107.3000,3000.1500,3019.3800,2459007400,62801960960.00
SZ399661,2015-08-05,6203.0100,6270.2100,6108.5400,6134.6900,3232658600,46815727616.00
SZ399662,2015-08-05,2943.6300,2969.0200,2867.5500,2889.9500,3363815200,65554821120.00
SZ399663,2015-08-05,1965.1000,1984.8200,1932.5400,1942.4200,1655438900,28070109184.00
SZ399664,2015-08-05,1626.1200,1650.0500,1591.2000,1607.9900,1916031600,42444451840.00
SZ399665,2015-08-05,2159.1800,2189.2400,2124.7600,2137.7600,3205818000,56438759424.00
SZ399666,2015-08-05,2120.3000,2154.4500,2077.0200,2095.5500,3706767600,86477701120.00
SZ399667,2015-08-05,3610.1500,3667.7500,3523.5900,3550.0300,1440287300,41721896960.00
SZ399668,2015-08-05,3367.5100,3456.3000,3316.3200,3353.9000,1283941700,26505095168.00
SZ399669,2015-08-05,7879.8900,7949.4700,7678.8300,7755.6400,1257552000,21442828288.00
SZ399670,2015-08-05,3478.2000,3499.6400,3411.7600,3416.8800,2415466400,32081004544.00
SZ399671,2015-08-05,7346.9600,7416.1600,7216.8200,7255.3800,1054140800,25264902144.00
SZ399701,2015-08-05,5397.8500,5431.2800,5311.3700,5319.2900,3387670800,38264160256.00
SZ399702,2015-08-05,5578.6900,5626.5800,5493.6200,5507.3200,5156354400,67036680192.00
SZ399703,2015-08-05,5734.1500,5785.0400,5646.4100,5663.3000,6836727200,91206918144.00
SZ399704,2015-08-05,5353.6400,5411.1600,5275.4300,5306.6100,947514600,12131876864.00
SZ399705,2015-08-05,3151.4900,3206.3300,3095.1800,3120.2400,4648016800,85311045632.00
SZ399706,2015-08-05,5952.7900,6001.5900,5827.3400,5851.2400,1997868000,50639994880.00
SZ399802,2015-08-05,7377.8500,7478.0800,7242.0400,7296.5400,5360188800,89917521920.00
SZ399901,2015-08-05,5843.1700,5902.1300,5720.2400,5737.7300,9860017600,115522494464.00
SZ399903,2015-08-05,3550.1100,3561.7600,3485.9300,3488.2800,9949539200,121131982848.00
SZ399904,2015-08-05,5272.7400,5330.8100,5146.1900,5173.4600,10098888000,151561535488.00
SZ399905,2015-08-05,7933.3200,8047.7000,7773.9200,7839.3400,11999976800,186153222144.00
SZ399907,2015-08-05,6462.3800,6544.8100,6320.6700,6364.3300,22098865600,337714741248.00
